CEFR_Level,Text
A1,Name: Gloria Colombo Age: 49 Hair color: brown Eye color: green
B1,"I believe that technology will help us to live better. Talking about health: equipments, like scanners, will help to identify diseases in"
B1,Remedy for
A1,Dear Ms Thomas
A1,"Good evening! How are you? I'm fine, thanks. We're busy. Good night!"
A1,"I come from Brazil and I can speak Portuguese, Spanish and English. I like"
A1,"Hot and Sunny Rond'nia. In Rond'nia, Brazil, summer starts in July. Summer is sunny and very hot. From July to December we wear shorts, T-shirts, skirts and summer dresses. We play volleyball and soccer on the beach and swim in the river. At night, we dance. December and July are cool, sunny and sometimes rainy."
A1,"I have a good shape! But I never do exercises. I eat well,"
B2,"Miami Vice, Action, 134 min. - USA 2006."
C1,On
A1,"Hi, my name's Lily. I'm an office assistant. I work in an office. My favorite day is Saturday. On Saturday, I sleep in the morning. I get up at 11 o'clock. At 11:15 I brush my teeth and have a shower. I have lunch at 1 o'clock. In the afternoon, I play tennis. In the evening, I meet friends. We eat in a restaurant then go to karaoke hall and sing. I go to bed at 11:30. I love Saturday!"
A1,I like my jeans. I also like my brown jacket. I really like my boots. I like my hat and my dark blue t-shirt
A2,"June 11, 2011 Dear Mr. Hewllet, I am writing to highly"
A2,Sometimes I and my husband go
B1,The players have to stay behind the mark. In front of us we have 10 pins
A1,"In my office, there are a lot of people. There are a lot of desks, chairs and computers. There is a kitchen,"
A1,
A1,shoes 59.00 dollars 9.0 sneakers 79.00 dollars 9.0 shirt 30.00 dollars M sweater 69.00 dollars S belt 29.00 dollars M pants 39.99 dollars L
A2,September. 19. 2013. To whom it may concern: I am writing to highly recommend Ivan Ivanov. I worked with Mr. Ivanov for 5 years at transportation company. He worked us driver for 15 years. He was very
A1,I usually shop at
A1,Creamium:
B1,"I'll never forget the first house my husband and I bought. It was very small, but we really loved it. The price was $240,000. We didn't have that much money, so we made a counteroffer of $230,000. We said that we were sorry, but we just didn't have the money. We also told the owner how much we loved the house and wished her good luck. We continued to look at other houses, but couldn't find anything we loved. Then, suddenly, we heard from the owner."
A1,"Hi, My name is David, I have twenty two years old, my telefon number is ########, my favorite movi is the heart of dragon.What is your name? How old are you?."
A1,Blue-light shoes 40 $ Grey pants 22 $ Black pants 20 $ Pink pant 21 $ Black skirts 35 $ Blue shirt 24 $ Orange shirt 28 $ Pink shirt 21 $ Grey shirt 21 $
A1,The Massa Pura is a very good restaurant. The food is
B1,I am very
B1,"We are looking for to hire a full time Regional Marketing Manager. Please review our website to get a better understanding of our company John Tiles Ltd. with industry of manufacturing Duties include design adverts, manage projects, work with sales to build clent base. The qualification is required has the experience with BA marketing or similar for at least 3 yrs. Pay is based on experience, $35.000 to $40.000. Welcome your coming."
A1,My name's David Sun. I'm thirty-seven years old. I'm from China. I live in Beijing. I'm a bank officer. I work in a bank.
A1,Please come and party with me on my
B1,I'm selling this humidifier. It is a state-of-the-art device which
A2,"Hi, Jim: I'll go on a business trip next week, please help me to take care of my children and dog.This is my family routine. My son plays basketball every afternoon. He often plays computer games at 6pm. He usually watches movies on Saturday at 5pm. My aunt Granny often does laundry on Tuesday afternoon.She does gardening in the morning.She usually sets the table at 6pm. I feed the dog at 8am every day.I walk the dog in the afternoon.I usually feed the dog again at 5pm every day. Thanks!"
A1,Good evening
A1,Turkey is very big and
B1,"Career Plan: 1. First, I must think of my current situation: I'm not a student anymore! 2. Next, I will ask myself what I want to do e what kind of skill I need to reach that goal. 3. Another thing I have to do is write a new CV more usefull and with all my characteristics, experiences and abilities in it. 4. The fourth stage of my plan is improve my skills with an internship or a voluntary work. 5. Finally, I will look for other opportunities."
A1,"I live in Chengdu,in China. I like eating fruits and bread.I don't like fish and sweats."
A1,On Saturday
A2,
A1,"I usually wake up at 1 pm, but sometimes"
A1,Campinas
A1,"Hi,"
A1,Hi
A1,My favorite
A1,"Hi Maria,"
A2,I am
A1,Hello: My name is Cindy.I favorite Sunday.I get up at 10 o'clock in the morning.have a shower and brush my teeth.I have breakfast at 11 o'clock. I wash clothes and clean the room at 12 o'clock.I have lunch at 1 o'clock.I read book and listen to the music in the afternoon.I have dinner at 7 o'clock in the evening.I Watch TV at 8 o'clock.I go to bed at 11 o'clock at night. What about you? Cindy
A1,
A1,"Hello Anna! I'm fine, thanks. My name's Markus. I'm 27 years old. Nice to meet you. Bye! Markus."
A2,"Hi mam Hi dad, I'm going to go to a music festival. I'm going to go to camping I'm taking a tent T-shirt and short and sleeping bag. I'm going to listen to pop and dance music and Maybe it'll rain I'm taking raincoat. The date is on mar. It'll be starte the ticket is 30 pound."
A1,My neighborhood is busy. There's a big market place across the street. There's a lot of
A1,"In my country, prices are always increasing."
A1,Almaty is
